 time            v(conn_pin)     v(mcu_pin)      v_am_rs#branch 
 3.69800000e-07  2.61166827e+00  2.58573252e+00  2.59357528e-05 
 3.74800000e-07  2.63719726e+00  2.61151324e+00  2.56840221e-05 
 3.79800000e-07  2.66247678e+00  2.63704280e+00  2.54339845e-05 
 3.84800000e-07  2.68750855e+00  2.66232290e+00  2.51856568e-05 
 3.89800000e-07  2.71229431e+00  2.68735526e+00  2.49390540e-05 
 3.94800000e-07  2.73683581e+00  2.71214162e+00  2.46941902e-05 
 3.99800000e-07  2.76113480e+00  2.73668372e+00  2.44510778e-05 
 4.04800000e-07  2.78519305e+00  2.76098333e+00  2.42097282e-05 
 4.09800000e-07  2.80901236e+00  2.78504221e+00  2.39701512e-05 
 4.14800000e-07  2.83259449e+00  2.80886214e+00  2.37323559e-05 
 4.19800000e-07  2.85594126e+00  2.83244491e+00  2.34963501e-05 
 4.24800000e-07  2.87905446e+00  2.85579232e+00  2.32621404e-05 
 4.29800000e-07  2.90193590e+00  2.87890617e+00  2.30297327e-05 
 4.34800000e-07  2.92458739e+00  2.90178826e+00  2.27991318e-05 
 4.39800000e-07  2.94701074e+00  2.92444040e+00  2.25703416e-05 
 4.44800000e-07  2.96920778e+00  2.94686442e+00  2.23433652e-05 
 4.49800000e-07  2.99118032e+00  2.96906212e+00  2.21182047e-05 
 4.54800000e-07  3.01293019e+00  2.99103532e+00  2.18948617e-05 
 4.59800000e-07  3.03445919e+00  3.01278586e+00  2.16733369e-05 
 4.64800000e-07  3.05576917e+00  3.03431554e+00  2.14536304e-05 
 4.69800000e-07  3.07686193e+00  3.05562618e+00  2.12357414e-05 
 4.74800000e-07  3.09773928e+00  3.07671962e+00  2.10196687e-05 
 4.79800000e-07  3.11840306e+00  3.09759765e+00  2.08054104e-05 
 4.84800000e-07  3.13885507e+00  3.11826210e+00  2.05929640e-05 
 4.89800000e-07  3.15909712e+00  3.13871479e+00  2.03823266e-05 
 4.94800000e-07  3.17913101e+00  3.15895752e+00  2.01734946e-05 
 4.99800000e-07  3.19895855e+00  3.17899209e+00  1.99664639e-05 
 5.04800000e-07  3.21858154e+00  3.19882031e+00  1.97612302e-05 
 5.09800000e-07  3.23800176e+00  3.21844397e+00  1.95577884e-05 
 5.14800000e-07  3.25722100e+00  3.23786487e+00  1.93561332e-05 
 5.19800000e-07  3.27624105e+00  3.25708479e+00  1.91562588e-05 
 5.24800000e-07  3.29506367e+00  3.27610551e+00  1.89581591e-05 
 5.29800000e-07  3.31369063e+00  3.29492881e+00  1.87618275e-05 
 5.34800000e-07  3.33212370e+00  3.31355644e+00  1.85672573e-05 
 5.39800000e-07  3.35036462e+00  3.33199018e+00  1.83744413e-05 
 5.44800000e-07  3.36841515e+00  3.35023178e+00  1.81833719e-05 
 5.49800000e-07  3.38627701e+00  3.36828297e+00  1.79940415e-05 
 5.54800000e-07  3.40395194e+00  3.38614549e+00  1.78064420e-05 
 5.59800000e-07  3.42144165e+00  3.40382108e+00  1.76205650e-05 
 5.64800000e-07  3.43874786e+00  3.42131146e+00  1.74364022e-05 
 5.69800000e-07  3.45587228e+00  3.43861833e+00  1.72539446e-05 
 5.74800000e-07  3.47281659e+00  3.45574340e+00  1.70731833e-05 
 5.79800000e-07  3.48958247e+00  3.47268837e+00  1.68941091e-05 
 5.84800000e-07  3.50617162e+00  3.48945491e+00  1.67167127e-05 
 5.89800000e-07  3.52258568e+00  3.50604470e+00  1.65409845e-05 
 5.94800000e-07  3.53882632e+00  3.52245941e+00  1.63669148e-05 
 5.99800000e-07  3.55489518e+00  3.53870069e+00  1.61944936e-05 
 6.04800000e-07  3.57079390e+00  3.55477019e+00  1.60237111e-05 
