 time            v(conn_pin)     v(gate)         v(gate_drive)  
 2.69079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 2.74079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 2.79079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 2.84079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 2.89079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 2.94079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 2.99079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.04079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.09079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.14079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.19079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.24079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.29079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.34079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.39079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.44079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.49079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.54079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.59079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.64079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.69079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.74079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.79079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.84079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.89079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.94079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 3.99079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.04079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.09079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.14079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.19079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.24079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.29079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.34079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.39079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.44079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.49079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.54079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.59079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.64079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.69079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.74079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.79079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.84079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.89079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.94079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 4.99079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.04079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.09079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.14079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.19079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.24079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.29079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.34079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.39079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.44079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.49079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.54079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.59079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.64079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.69079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.74079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.79079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.84079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.89079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.94079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 5.99079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.04079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.09079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.14079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.19079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.24079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.29079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.34079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.39079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.44079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.49079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.54079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.59079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.64079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.69079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
 6.74079960e-07  3.72221007e-05  3.30000000e+00  3.30000000e+00 
