 time            v(conn_pin)     v(gate)         v(mcu_gpio)     v_am_esd#branch
 5.00379980e-06  4.44676209e-01  6.01230714e-02  0.00000000e+00 -2.32462057e-03 
 5.00694727e-06  8.22800188e-01  9.27088284e-02  0.00000000e+00 -1.99727403e-03 
 5.01324223e-06  1.57873513e+00  1.29491648e-01  0.00000000e+00 -1.59781056e-03 
 5.02166265e-06  2.58955637e+00  1.48514697e-01  0.00000000e+00 -1.32814596e-03 
 5.03293861e-06  3.94295683e+00  1.53925944e-01  0.00000000e+00 -1.12454642e-03 
 5.04772768e-06  5.71784458e+00  1.52827847e-01  0.00000000e+00 -9.60706276e-04 
 5.06988184e-06  7.45183451e+00  9.59809599e-02  0.00000000e+00 -9.29921168e-01 
 5.09055206e-06  8.29798873e+00  4.57784394e-02  0.00000000e+00 -2.56625662e+00 
 5.10000000e-06  8.67970787e+00  4.52792381e-02  0.00000000e+00 -3.31719452e+00 
 5.10204954e-06  8.67997885e+00  3.53278489e-02  0.00000000e+00 -3.31939964e+00 
 5.10614862e-06  8.67998776e+00  2.04192292e-02  0.00000000e+00 -3.31950935e+00 
 5.11070171e-06  8.67997838e+00  1.04211466e-02  0.00000000e+00 -3.31958203e+00 
 5.11847643e-06  8.67999711e+00  2.30650917e-03  0.00000000e+00 -3.31961866e+00 
 5.12622278e-06  8.68000303e+00 -2.24938717e-04  0.00000000e+00 -3.31963052e+00 
 5.13449527e-06  8.68000403e+00 -6.53892159e-04  0.00000000e+00 -3.31963249e+00 
 5.14519637e-06  8.68000353e+00 -4.39478558e-04  0.00000000e+00 -3.31963150e+00 
 5.16190265e-06  8.68000280e+00 -1.28599615e-04  0.00000000e+00 -3.31963008e+00 
 5.19531523e-06  8.68000243e+00  3.19968593e-05  0.00000000e+00 -3.31962934e+00 
 5.26214038e-06  8.68000244e+00  2.46818365e-05  0.00000000e+00 -3.31962938e+00 
 5.36214038e-06  8.68000250e+00  2.23629862e-06  0.00000000e+00 -3.31962948e+00 
 5.46214038e-06  8.68000250e+00 -4.17938209e-07  0.00000000e+00 -3.31962949e+00 
